id,taxa,,,,,
291910,48.72,,,,,
291915,69.94,,,,,
291930,85.07,,,,,
291940,90.59,,,,,
291950,62.59,,,,,
291960,56.43,,,,,
291970,100,,,,,
291980,60.67,,,,,
291990,68.42,,,,,
291995,77.02,,,,,
292000,66.98,,,,,
292010,100.1,,,,,
292020,88.3,,,,,
292030,74.13,,,,,
292040,85.13,,,,,
292050,81.93,,,,,
292080,92.61,,,,,
292105,79.29,,,,,
292120,101.84,,,,,
292130,67.07,,,,,
292140,90.44,,,,,
292145,76.91,,,,,
292150,62.06,,,,,
292160,71.47,,,,,
292170,85.64,,,,,
292180,84.19,,,,,
292190,77.31,,,,,
292205,101.24,,,,,
292210,64.51,,,,,
292225,73.64,,,,,
292265,60.82,,,,,
292270,66.09,,,,,
292273,101.55,,,,,
292280,57.21,,,,,
292285,73.31,,,,,
292290,77.41,,,,,
292303,0,,,,,
292305,74.82,,,,,
292310,92.73,,,,,
292320,100,,,,,
292335,81.53,,,,,
292340,84.14,,,,,
292350,63.36,,,,,
292360,81.45,,,,,
292370,0,,,,,
292380,57.72,,,,,
292400,64.71,,,,,
292405,103.26,,,,,
292420,70.72,,,,,
292430,0,,,,,
292440,0,,,,,
292450,72.79,,,,,
292460,0,,,,,
292465,100.12,,,,,
292470,72.17,,,,,
292480,63.13,,,,,
292490,85.03,,,,,
292500,65.58,,,,,
292510,80.64,,,,,
292525,53.02,,,,,
292540,73.68,,,,,
292560,66.6,,,,,
292570,83.27,,,,,
292580,76.22,,,,,
292590,69.9,,,,,
292593,63.85,,,,,
292595,63.08,,,,,
292600,84.97,,,,,
292610,50.21,,,,,
292630,82.41,,,,,
292640,0,,,,,
292650,60.32,,,,,
292660,71.34,,,,,
292665,81.62,,,,,
292670,63.05,,,,,
292680,76.73,,,,,
292690,77.07,,,,,
292710,71.98,,,,,
292720,70.63,,,,,
292750,38.02,,,,,
292760,56.45,,,,,
292790,74.43,,,,,
292800,70.46,,,,,
292820,80.58,,,,,
292830,45.26,,,,,
292850,74.02,,,,,
292880,57.25,,,,,
292895,100.6,,,,,
292905,73.68,,,,,
292925,74.7,,,,,
292937,93.37,,,,,
292970,86.87,,,,,
292980,87.16,,,,,
292990,100.39,,,,,
293000,100,,,,,
293010,75.16,,,,,
293015,0,,,,,
293020,0,,,,,
293030,69.54,,,,,
293040,50.08,,,,,
293050,78.74,,,,,
293060,73.31,,,,,
293075,0,,,,,
293076,81.89,,,,,
293077,109.89,,,,,
293080,80.04,,,,,
293090,93.57,,,,,
293100,61.22,,,,,
293105,63.82,,,,,
293110,50.72,,,,,
293130,88.28,,,,,
293150,76.49,,,,,
293180,77.36,,,,,
293190,75.95,,,,,
293200,61.59,,,,,
293210,62.9,,,,,
293240,67.52,,,,,
293245,84.1,,,,,
293260,0,,,,,
293280,92.14,,,,,
293300,86.65,,,,,
293305,85.54,,,,,
293310,52.04,,,,,
293315,78.87,,,,,
293330,72.38,,,,,
293340,84.55,,,,,
293360,100,,,,,
310100,78.53,,,,,
310170,77.3,,,,,
310270,74.29,,,,,
310340,81.09,,,,,
310520,55.09,,,,,
310650,63.39,,,,,
310665,75.62,,,,,
310825,83.12,,,,,
311270,73.46,,,,,
311300,76.93,,,,,
311547,72.46,,,,,
311610,33.31,,,,,
311700,73.95,,,,,
311783,85.79,,,,,
311950,81.48,,,,,
312030,74.47,,,,,
312087,84.05,,,,,
312235,87.56,,,,,
312245,89.84,,,,,
312430,73.59,,,,,
312560,71.43,,,,,
312650,38.7,,,,,
312670,99.8,,,,,
312707,99.55,,,,,
312733,0,,,,,
312780,75.7,,,,,
312965,83.52,,,,,
313065,81.62,,,,,
313210,81.45,,,,,
313330,86.36,,,,,
313400,69.98,,,,,
313470,81.56,,,,,
313505,88.25,,,,,
313510,86.48,,,,,
313520,76.8,,,,,
313535,83.61,,,,,
313545,100,,,,,
313580,70.57,,,,,
313600,85.11,,,,,
313650,74.12,,,,,
313652,94.37,,,,,
313657,67.43,,,,,
313695,82.77,,,,,
313865,81.31,,,,,
313925,0,,,,,
313930,86.37,,,,,
314055,83.09,,,,,
314085,78.08,,,,,
314100,69.96,,,,,
314140,94.36,,,,,
314225,92.17,,,,,
314270,72.12,,,,,
314290,70,,,,,
314315,59.97,,,,,
314345,76.05,,,,,
314465,50.26,,,,,
314505,81.45,,,,,
314530,75.03,,,,,
314537,76.75,,,,,
314625,78.63,,,,,
314630,61.27,,,,,
314655,86.22,,,,,
314795,71.36,,,,,
314870,62.51,,,,,
314915,79.53,,,,,
315217,71.83,,,,,
315220,80.13,,,,,
315450,82.25,,,,,
315560,77.9,,,,,
315650,73.28,,,,,
315660,95.48,,,,,
315700,69.79,,,,,
315710,84.41,,,,,
315737,64.41,,,,,
315810,67.99,,,,,
316045,86.56,,,,,
316240,72.54,,,,,
316245,77.78,,,,,
316270,82.4,,,,,
316695,88.99,,,,,
316800,82.38,,,,,
317065,82.82,,,,,
317090,91.25,,,,,
317103,78.04,,,,,
317160,79.25,,,,,
